language	book	k	kmer	count	frequency
dutch	camera_obscura	3	PRO	118	0.0003243076855424733
dutch	camera_obscura	3	ROD	23	6.321251497861768e-05
dutch	camera_obscura	3	ODU	19	5.221903411277113e-05
dutch	camera_obscura	3	DUC	29	7.97027362773875e-05
dutch	camera_obscura	3	UCE	39	0.0001071864384420039
dutch	camera_obscura	3	CED	149	0.0004095071622527841
dutch	camera_obscura	3	EDB	239	0.0006568604817343316
dutch	camera_obscura	3	DBY	79	0.00021712124710046942
dutch	camera_obscura	3	BYR	2	5.4967404329232765e-06
dutch	camera_obscura	3	YRO	11	3.023207238107802e-05
dutch	camera_obscura	3	ROG	4	1.0993480865846553e-05
dutch	camera_obscura	3	OGE	50	0.0001374185108230819
dutch	camera_obscura	3	GER	208	0.0005716610050240208
dutch	camera_obscura	3	ERF	203	0.0005579191539417126
dutch	camera_obscura	3	RFR	28	7.695436606092587e-05
dutch	camera_obscura	3	FRA	68	0.0001868891747193914
dutch	camera_obscura	3	RAN	498	0.001368688367797896
dutch	camera_obscura	3	ANK	79	0.00021712124710046942
dutch	camera_obscura	3	NKA	28	7.695436606092587e-05
dutch	camera_obscura	3	KAN	146	0.0004012620516033992
dutch	camera_obscura	3	AND	3730	0.010251420907401911
dutch	camera_obscura	3	NDT	729	0.002003561887800534
dutch	camera_obscura	3	DTH	1386	0.0038092411200158307
dutch	camera_obscura	3	THE	7811	0.021467519760781855
dutch	camera_obscura	3	HEO	143	0.00039301694095401424
dutch	camera_obscura	3	EON	132	0.00036278486857293623
dutch	camera_obscura	3	ONL	116	0.00031881094510955
dutch	camera_obscura	3	NLI	73	0.0002006310258016996
dutch	camera_obscura	3	LIN	397	0.0010911029759352704
dutch	camera_obscura	3	INE	321	0.0008822268394841859
dutch	camera_obscura	3	NED	463	0.0012724954102217385
dutch	camera_obscura	3	EDI	542	0.001489616657322208
dutch	camera_obscura	3	DIS	185	0.0005084484900454031
dutch	camera_obscura	3	IST	407	0.0011185866780998868
dutch	camera_obscura	3	STR	460	0.0012642502995723537
dutch	camera_obscura	3	TRI	160	0.0004397392346338621
dutch	camera_obscura	3	RIB	107	0.0002940756131613953
dutch	camera_obscura	3	IBU	4	1.0993480865846553e-05
dutch	camera_obscura	3	BUT	332	0.0009124589118652639
dutch	camera_obscura	3	UTE	95	0.0002610951705638556
dutch	camera_obscura	3	TED	515	0.0014154106614777436
dutch	camera_obscura	3	EDP	36	9.894132779261898e-05
dutch	camera_obscura	3	DPR	34	9.34445873596957e-05
dutch	camera_obscura	3	ROO	126	0.0003462946472741664
dutch	camera_obscura	3	OOF	26	7.14576256280026e-05
dutch	camera_obscura	3	OFR	30	8.245110649384915e-05
dutch	camera_obscura	3	FRE	96	0.00026384354078031727
dutch	camera_obscura	3	REA	979	0.0026906544419159437
dutch	camera_obscura	3	EAD	444	0.0012202763761089673
dutch	camera_obscura	3	ADI	102	0.0002803337620790871
dutch	camera_obscura	3	DIN	490	0.0013467014060662026
dutch	camera_obscura	3	ING	2796	0.0076844431252267404
dutch	camera_obscura	3	NGT	535	0.0014703780658069765
dutch	camera_obscura	3	GTE	6	1.649022129876983e-05
dutch	camera_obscura	3	TEA	165	0.0004534810857161703
dutch	camera_obscura	3	EAM	141	0.00038752020052109097
dutch	camera_obscura	3	AMA	158	0.00043424249420093885
dutch	camera_obscura	3	MAT	74	0.00020337939601816122
dutch	camera_obscura	3	ATH	1130	0.0031056583446016513
dutch	camera_obscura	3	THT	215	0.0005908995965392522
dutch	camera_obscura	3	HTT	87	0.00023910820883216253
dutch	camera_obscura	3	TTP	2	5.4967404329232765e-06
dutch	camera_obscura	3	TPW	1	2.7483702164616382e-06
dutch	camera_obscura	3	PWW	1	2.7483702164616382e-06
dutch	camera_obscura	3	WWW	1	2.7483702164616382e-06
dutch	camera_obscura	3	WWP	1	2.7483702164616382e-06
dutch	camera_obscura	3	WPG	1	2.7483702164616382e-06
dutch	camera_obscura	3	PGD	1	2.7483702164616382e-06
dutch	camera_obscura	3	GDP	1	2.7483702164616382e-06
dutch	camera_obscura	3	DPN	1	2.7483702164616382e-06
dutch	camera_obscura	3	PNE	5	1.3741851082308191e-05
dutch	camera_obscura	3	NET	78	0.0002143728768840078
dutch	camera_obscura	3	ETI	147	0.00040401042181986084
dutch	camera_obscura	3	TIL	192	0.0005276870815606345
dutch	camera_obscura	3	ILL	451	0.0012395149676241988
dutch	camera_obscura	3	LLU	24	6.596088519507932e-05
dutch	camera_obscura	3	LUS	38	0.00010443806822554226
dutch	camera_obscura	3	UST	302	0.0008300078053714148
dutch	camera_obscura	3	TRA	389	0.0010691160142035773
dutch	camera_obscura	3	RAT	147	0.00040401042181986084
dutch	camera_obscura	3	ATI	440	0.0012092828952431208
dutch	camera_obscura	3	TIO	381	0.0010471290524718842
dutch	camera_obscura	3	ION	707	0.0019430977430383782
dutch	camera_obscura	3	ONA	154	0.0004232490133350923
dutch	camera_obscura	3	NAG	51	0.00014016688103954354
dutch	camera_obscura	3	AGA	256	0.0007035827754141794
dutch	camera_obscura	3	GAI	259	0.0007118278860635643
dutch	camera_obscura	3	AIN	598	0.0016435253894440597
dutch	camera_obscura	3	INS	346	0.0009509360948957268
dutch	camera_obscura	3	NST	220	0.0006046414476215604
dutch	camera_obscura	3	STT	180	0.0004947066389630949
dutch	camera_obscura	3	TTH	953	0.002619196816287941
dutch	camera_obscura	3	THA	2136	0.00587051878236206
dutch	camera_obscura	3	HAT	1739	0.004779415806426789
dutch	camera_obscura	3	ATS	218	0.0005991447071886371
dutch	camera_obscura	3	TSA	97	0.00026659191099677893
dutch	camera_obscura	3	SAV	37	0.00010168969800908061
dutch	camera_obscura	3	AVA	22	6.046414476215604e-05
dutch	camera_obscura	3	VAG	13	3.57288128140013e-05
dutch	camera_obscura	3	AGE	183	0.0005029517496124798
dutch	camera_obscura	3	GEB	18	4.947066389630949e-05
dutch	camera_obscura	3	EBA	113	0.00031056583446016514
dutch	camera_obscura	3	BAC	248	0.0006815958136824863
dutch	camera_obscura	3	ACK	391	0.0010746127546365006
dutch	camera_obscura	3	CKG	8	2.1986961731693106e-05
dutch	camera_obscura	3	KGR	6	1.649022129876983e-05
dutch	camera_obscura	3	GRO	135	0.00037102997922232116
dutch	camera_obscura	3	ROU	293	0.00080527247342326
dutch	camera_obscura	3	OUN	426	0.0011708057122126578
dutch	camera_obscura	3	UND	443	0.0012175280058925057
dutch	camera_obscura	3	NDO	265	0.0007283181073623341
dutch	camera_obscura	3	DOF	224	0.000615634928487407
dutch	camera_obscura	3	OFM	78	0.0002143728768840078
dutch	camera_obscura	3	FMO	12	3.298044259753966e-05
dutch	camera_obscura	3	MOU	153	0.00042050064311863065
dutch	camera_obscura	3	UNT	311	0.0008547431373195695
dutch	camera_obscura	3	NTA	268	0.000736563218011719
dutch	camera_obscura	3	TAI	129	0.00035453975792355135
dutch	camera_obscura	3	INA	362	0.000994910018359113
dutch	camera_obscura	3	NAN	294	0.0008080208436397217
dutch	camera_obscura	3	NDG	54	0.00014841199168892847
dutch	camera_obscura	3	DGO	77	0.00021162450666754615
dutch	camera_obscura	3	GOR	13	3.57288128140013e-05
dutch	camera_obscura	3	ORG	60	0.0001649022129876983
dutch	camera_obscura	3	RGE	123	0.0003380495366247815
dutch	camera_obscura	3	GES	67	0.00018414080450292975
dutch	camera_obscura	3	ESH	360	0.0009894132779261898
dutch	camera_obscura	3	SHE	1400	0.0038477183030462938
dutch	camera_obscura	3	HES	1203	0.003306289370403351
dutch	camera_obscura	3	EST	795	0.0021849543220870023
dutch	camera_obscura	3	STO	530	0.0014566362147246683
dutch	camera_obscura	3	TOO	252	0.0006925892945483328
dutch	camera_obscura	3	OOD	294	0.0008080208436397217
dutch	camera_obscura	3	ODO	89	0.0002446049492650858
dutch	camera_obscura	3	DOU	151	0.0004150039026857074
dutch	camera_obscura	3	OUT	718	0.001973329815419456
dutch	camera_obscura	3	UTC	31	8.519947671031079e-05
dutch	camera_obscura	3	TCL	29	7.97027362773875e-05
dutch	camera_obscura	3	CLE	130	0.00035728812814001296
dutch	camera_obscura	3	LEA	365	0.001003155129008498
dutch	camera_obscura	3	EAR	752	0.002066774402779152
dutch	camera_obscura	3	ARC	53	0.00014566362147246684
dutch	camera_obscura	3	RCU	12	3.298044259753966e-05
dutch	camera_obscura	3	CUT	21	5.7715774545694406e-05
dutch	camera_obscura	3	UTA	87	0.00023910820883216253
dutch	camera_obscura	3	TAS	137	0.00037652671965524443
dutch	camera_obscura	3	ASA	475	0.0013054758528192783
dutch	camera_obscura	3	SAC	63	0.0001731473236370832
dutch	camera_obscura	3	ACA	34	9.34445873596957e-05
dutch	camera_obscura	3	CAM	237	0.0006513637413014082
dutch	camera_obscura	3	AME	370	0.0010168969800908062
dutch	camera_obscura	3	MEO	68	0.0001868891747193914
dutch	camera_obscura	3	EOS	2	5.4967404329232765e-06
dutch	camera_obscura	3	OSL	16	4.397392346338621e-05
dutch	camera_obscura	3	SLE	158	0.00043424249420093885
dutch	camera_obscura	3	LEN	139	0.0003820234600881677
dutch	camera_obscura	3	END	279	0.0007667952903927971
dutch	camera_obscura	3	NDE	415	0.0011405736398315798
dutch	camera_obscura	3	DER	448	0.001231269856974814
dutch	camera_obscura	3	ERA	420	0.001154315490913888
dutch	camera_obscura	3	RAS	136	0.0003737783494387828
dutch	camera_obscura	3	SAR	82	0.00022536635774985433
dutch	camera_obscura	3	ARE	446	0.0012257731165418906
dutch	camera_obscura	3	REE	363	0.0009976583885755747
dutch	camera_obscura	3	EED	120	0.0003298044259753966
dutch	camera_obscura	3	EDW	225	0.0006183832987038686
dutch	camera_obscura	3	DWI	262	0.0007200729967129492
dutch	camera_obscura	3	WIL	187	0.0005139452304783263
dutch	camera_obscura	3	ILD	134	0.0003682816090058595
dutch	camera_obscura	3	LDP	13	3.57288128140013e-05
dutch	camera_obscura	3	DPA	48	0.00013192177039015863
